,Hill coefficient,IC50,protocol
0,0.9685530373983575,6258.004317357131,Milnes
0,0.9807742688109309,8274.054754530353,Pneg80
0,0.9647171785843108,4702.705855528095,P0
0,0.9934793252463325,10923.14344552534,P40
