,pulse 0,pulse 1,drug concentration
0,276.40000000000003,276.40000000000003,0.1
1,276.40000000000003,276.40000000000003,0.20691380811147897
2,276.5,276.5,0.42813323987193935
3,276.5,276.5,0.8858667904100825
4,276.70000000000005,276.70000000000005,1.8329807108324356
5,277.1,277.1,3.79269019073225
6,277.90000000000003,277.90000000000003,7.847599703514611
7,279.6,279.6,16.23776739188721
8,283.20000000000005,283.20000000000005,33.59818286283781
9,290.90000000000003,290.90000000000003,69.51927961775606
10,306.3,306.3,143.8449888287663
11,335.0,335.0,297.6351441631316
12,382.6,382.6,615.8482110660261
13,450.20000000000005,450.20000000000005,1274.2749857031322
14,532.1,532.1,2636.6508987303555
15,619.5,619.4000000000001,5455.594781168515
16,1000.0,423.70000000000005,11288.378916846883
17,1000.0,415.3,23357.21469090121
18,1000.0,409.3,48329.30238571752
19,1000.0,409.0,100000.0
