,pulse 0,pulse 1,drug concentration
0,276.5,276.5,0.1
1,276.5,276.5,0.20691380811147897
2,276.70000000000005,276.70000000000005,0.42813323987193935
3,276.90000000000003,276.90000000000003,0.8858667904100825
4,277.3,277.3,1.8329807108324356
5,278.0,278.0,3.79269019073225
6,279.40000000000003,279.40000000000003,7.847599703514611
7,281.8,281.8,16.23776739188721
8,286.20000000000005,286.20000000000005,33.59818286283781
9,293.90000000000003,293.90000000000003,69.51927961775606
10,307.0,307.0,143.8449888287663
11,328.40000000000003,328.40000000000003,297.6351441631316
12,360.90000000000003,360.90000000000003,615.8482110660261
13,405.8,405.8,1274.2749857031322
14,462.20000000000005,462.20000000000005,2636.6508987303555
15,526.5,526.5,5455.594781168515
16,594.4000000000001,594.4000000000001,11288.378916846883
17,662.7,662.7,23357.21469090121
18,1000.0,424.40000000000003,48329.30238571752
19,1000.0,414.70000000000005,100000.0
