,0,1,drug concentration
0,261.20000000000005,261.20000000000005,0.1
1,261.8,261.8,0.16237767391887217
2,262.8,262.8,0.26366508987303583
3,264.3,264.3,0.42813323987193935
4,266.8,266.8,0.6951927961775606
5,270.6,270.6,1.1288378916846888
6,276.5,276.5,1.8329807108324356
7,285.5,285.5,2.9763514416313175
8,298.5,298.5,4.832930238571752
9,316.70000000000005,316.70000000000005,7.847599703514611
10,340.20000000000005,340.20000000000005,12.742749857031335
11,368.20000000000005,368.20000000000005,20.6913808111479
12,398.3,398.3,33.59818286283781
13,427.5,427.5,54.555947811685144
14,452.90000000000003,452.90000000000003,88.58667904100822
15,473.1,473.1,143.8449888287663
16,488.20000000000005,488.20000000000005,233.57214690901213
17,498.70000000000005,498.70000000000005,379.2690190732246
18,505.80000000000007,505.80000000000007,615.8482110660261
19,510.4,510.4,1000.0
