,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_Hill,peak_current,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,drug_conc_Hill,peak_current,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_11,conc_11,conc_12,conc_13,conc_12,conc_13,conc_14,conc_15,conc_14,conc_15,conc_16,conc_17,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_18,conc_19,conc_20,conc_21,conc_22,conc_22,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29
0,3000.0,0.0,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.9860104620802248,0.9570869859234,0.8758032347369415,0.6900393136264799,0.4117175894152911,0.1807649603073168,0.0665481279175814,0.022261731008108,0.0058526330999783,0.0,1.0019910753684569,0.0220219095184242,-4.502750000000001,55.84,1.7900000000000005e-05,1.0,1.0,0.0003162277660168,0.0005455594781168,0.000941204967268,0.0016237767391887,0.0028013567611988,0.0048329302385717,0.0083378222347178,0.0143844988828766,0.0248162892283682,0.0428133239871939,0.0738619982207935,0.1274274985703133,0.2198392648862289,0.3792690190732249,0.6543189129712962,1.1288378916846884,1.947483039908755,3.359818286283781,5.796393953384961,10.0,262.0,263.3,265.5,269.3,275.5,285.70000000000005,301.5,325.0,357.8,400.7000000000001,452.5,509.9,568.1,622.2,668.9000000000001,705.5,1000.0,1000.0,1000.0,1000.0,262.3,263.8,266.40000000000003,270.70000000000005,277.90000000000003,289.6,307.8,334.70000000000005,371.7000000000001,418.8,474.1,534.4,596.7,658.8000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,16.6968987710721,-12.050000000000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3001.0,0.0,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.9865929984385448,0.95890035816747,0.8809800648854897,0.7021138845942718,0.4327748565166368,0.2067760488453778,0.0883862554996737,0.0342532030237341,0.0097750430988433,0.0,0.9557198491850224,0.0288591738925907,-4.502750000000001,55.84,4.617607212716914e-05,1.0,1.0,0.0003162277660168,0.0005455594781168,0.000941204967268,0.0016237767391887,0.0028013567611988,0.0048329302385717,0.0083378222347178,0.0143844988828766,0.0248162892283682,0.0428133239871939,0.0738619982207935,0.1274274985703133,0.2198392648862289,0.3792690190732249,0.6543189129712962,1.1288378916846884,1.947483039908755,3.359818286283781,5.796393953384961,10.0,262.0,263.3,265.5,269.3,275.5,285.6,301.20000000000005,324.6,357.40000000000003,400.5,452.8,511.1,570.4000000000001,625.7,673.4000000000001,710.8000000000001,1000.0,1000.0,1000.0,1000.0,262.5,264.1,266.70000000000005,271.0,277.90000000000003,289.0,305.8,330.5,364.2000000000001,407.3,458.3,514.7,573.8000000000001,633.3000000000001,691.7,1000.0,1000.0,1000.0,1000.0,1000.0,6.420851449249798,-4.833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3002.0,0.0,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.98798626004157,0.9633127435034587,0.8939806925516571,0.7346198687265905,0.4912559982465881,0.2765469717540038,0.1443706547183501,0.066019123123476,0.0239887301121691,0.0062759962483015,0.8502897881892774,0.054874404762922,-4.502750000000001,55.84,0.0001191189741393,1.0,1.0,0.0003162277660168,0.0005796393953384,0.001062467830894,0.0019474830399087,0.003569698846826,0.0065431891297129,0.0119935394620923,0.0219839264886228,0.040296113202004,0.0738619982207935,0.1353876180022543,0.2481628922836823,0.4548777947003777,0.8337822234717891,1.5283067326587687,2.8013567611988672,5.134832907437549,9.41204967268067,17.25210549942039,31.6227766016838,262.0,263.5,266.20000000000005,271.0,279.40000000000003,293.40000000000003,315.90000000000003,349.5,396.0,454.6,521.3000000000001,589.3000000000001,651.9000000000001,703.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,263.0,264.90000000000003,268.0,273.1,281.3,293.90000000000003,313.0,340.1,376.4,421.5,473.80000000000007,530.6,589.2,647.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,32.02704214521581,20.085714285714293,31.6227766016838,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3003.0,0.0,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.9678777402155664,0.9081243385489846,0.7706186055270858,0.5552761254164987,0.346696415466341,0.1920694085524414,0.086956940883567,0.0307535056038924,0.0079297312787672,0.0,0.7951955192320861,0.0859306106883437,-4.502750000000001,55.84,0.0003072875051156,1.0,1.0,0.001,0.001725210549942,0.0029763514416313,0.0051348329074375,0.0088586679041008,0.0152830673265876,0.0263665089873035,0.0454877794700377,0.0784759970351461,0.1353876180022543,0.2335721469090121,0.4029611320200399,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.6227766016838,265.90000000000003,270.0,276.6,287.40000000000003,304.1,329.0,364.1,410.4,467.2000000000001,531.7,599.2,663.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,267.20000000000005,270.8,276.3,284.40000000000003,296.1,312.5,334.5,363.0,398.0,438.8,484.1,532.1,581.5,631.0,679.8000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,62.92117423146735,42.64166666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3004.0,0.0,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,1.0,0.968263165128262,0.9104316576029694,0.7782274213836534,0.5675773033979506,0.3509514393082736,0.1827155806213604,0.0762919249199417,0.025589851774827,0.0064187973519682,0.0,0.8196215289928529,0.081127611824755,-4.502750000000001,55.84,0.0007927,1.0,1.0,0.001,0.001725210549942,0.0029763514416313,0.0051348329074375,0.0088586679041008,0.0152830673265876,0.0263665089873035,0.0454877794700377,0.0784759970351461,0.1353876180022543,0.2335721469090121,0.4029611320200399,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.6227766016838,266.20000000000005,270.40000000000003,277.40000000000003,288.70000000000005,306.40000000000003,332.8,370.4,420.9,484.7000000000001,558.7,634.0,698.3000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,266.5,269.90000000000003,275.1,282.90000000000003,294.3,310.5,332.70000000000005,361.7000000000001,397.6,439.7000000000001,486.5,536.1,587.0,638.0,688.1,1000.0,1000.0,1000.0,1000.0,1000.0,79.27872770590272,54.616666666666674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3005.0,0.0,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.9871405643193848,0.960486178274038,0.8855322249901818,0.7121008063826169,0.4424318132635686,0.2007146854614187,0.0712011377959841,0.0218386636830693,0.0053680768670023,0.0,0.9972970858919143,0.025146799583947,-4.502750000000001,55.84,0.01,1.0,1.0,0.0003162277660168,0.0005455594781168,0.000941204967268,0.0016237767391887,0.0028013567611988,0.0048329302385717,0.0083378222347178,0.0143844988828766,0.0248162892283682,0.0428133239871939,0.0738619982207935,0.1274274985703133,0.2198392648862289,0.3792690190732249,0.6543189129712962,1.1288378916846884,1.947483039908755,3.359818286283781,5.796393953384961,10.0,262.6,264.40000000000003,267.40000000000003,272.5,281.0,295.0,317.1,350.90000000000003,399.3,461.6,531.1,598.5,658.7,709.2,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,262.1,263.5,265.8,269.70000000000005,276.20000000000005,286.8,303.5,328.3,363.0,407.9,461.3,520.6,582.3000000000001,644.3000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,43.08484983975556,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3006.0,0.0,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.9872005546420016,0.9606006989926476,0.8851782073810646,0.7088510215124822,0.4354259452112775,0.1942374288380597,0.0687635247577846,0.0210316085465936,0.0051069027707402,0.0,1.0063381116724015,0.0237160223295098,-4.502750000000001,55.84,0.0140221775674004,1.0,1.0,0.0003162277660168,0.0005455594781168,0.000941204967268,0.0016237767391887,0.0028013567611988,0.0048329302385717,0.0083378222347178,0.0143844988828766,0.0248162892283682,0.0428133239871939,0.0738619982207935,0.1274274985703133,0.2198392648862289,0.3792690190732249,0.6543189129712962,1.1288378916846884,1.947483039908755,3.359818286283781,5.796393953384961,10.0,262.6,264.40000000000003,267.40000000000003,272.6,281.1,295.20000000000005,317.6,351.90000000000003,400.7000000000001,463.0,532.0,598.9000000000001,658.8000000000001,709.2,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,262.1,263.40000000000003,265.8,269.70000000000005,276.3,287.1,304.1,329.40000000000003,364.9,410.6,465.0,525.0,587.4000000000001,649.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,40.86688320458441,29.621428571428574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3007.0,0.0,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.987204379358688,0.9606433617365348,0.8851687029278551,0.7090762726363309,0.4344594194298211,0.1939346856466729,0.0688205818038266,0.0210532025159781,0.0051041829113976,0.0,1.0072203306688832,0.0236001012509511,-4.502750000000001,55.84,0.0196621463731709,1.0,1.0,0.0003162277660168,0.0005455594781168,0.000941204967268,0.0016237767391887,0.0028013567611988,0.0048329302385717,0.0083378222347178,0.0143844988828766,0.0248162892283682,0.0428133239871939,0.0738619982207935,0.1274274985703133,0.2198392648862289,0.3792690190732249,0.6543189129712962,1.1288378916846884,1.947483039908755,3.359818286283781,5.796393953384961,10.0,262.6,264.40000000000003,267.40000000000003,272.6,281.1,295.3,317.8,352.3,401.3,463.6,532.3000000000001,599.0,658.8000000000001,709.2,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,262.1,263.40000000000003,265.70000000000005,269.70000000000005,276.3,287.1,304.1,329.5,365.0,410.8,465.30000000000007,525.4,587.8000000000001,650.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,40.81341691159906,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3008.0,0.0,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.987213151943252,0.9606010248397352,0.88530573168791,0.7091834833295058,0.4346417979955987,0.1940304261659175,0.0688331059548941,0.0210670248765355,0.0051030762633795,0.0,1.0072607994593237,0.0236122161402897,-4.502750000000001,55.84,0.0275706107800822,1.0,1.0,0.0003162277660168,0.0005455594781168,0.000941204967268,0.0016237767391887,0.0028013567611988,0.0048329302385717,0.0083378222347178,0.0143844988828766,0.0248162892283682,0.0428133239871939,0.0738619982207935,0.1274274985703133,0.2198392648862289,0.3792690190732249,0.6543189129712962,1.1288378916846884,1.947483039908755,3.359818286283781,5.796393953384961,10.0,262.6,264.40000000000003,267.40000000000003,272.5,281.1,295.3,317.90000000000003,352.40000000000003,401.4,463.7000000000001,532.3000000000001,599.0,658.8000000000001,709.1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,262.1,263.40000000000003,265.70000000000005,269.70000000000005,276.3,287.1,304.1,329.5,365.0,410.8,465.2000000000001,525.3000000000001,587.8000000000001,650.3000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,40.8595328971273,29.685714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
