,pulse 0,pulse 1,drug concentration
0,261.20000000000005,261.20000000000005,0.1
1,261.8,261.8,0.20691380811147897
2,262.8,262.8,0.42813323987193935
3,264.40000000000003,264.40000000000003,0.8858667904100825
4,266.90000000000003,266.90000000000003,1.8329807108324356
5,270.8,270.8,3.79269019073225
6,277.0,277.0,7.847599703514611
7,286.3,286.3,16.23776739188721
8,300.3,300.3,33.59818286283781
9,320.20000000000005,320.20000000000005,69.51927961775606
10,347.5,347.5,143.8449888287663
11,382.6,382.6,297.6351441631316
12,425.1,425.1,615.8482110660261
13,473.6,473.6,1274.2749857031322
14,525.9,525.9,2636.6508987303555
15,580.0,580.0,5455.594781168515
16,634.3000000000001,634.3000000000001,11288.378916846883
17,687.7,687.7,23357.21469090121
18,1000.0,423.5,48329.30238571752
19,1000.0,415.20000000000005,100000.0
