,pulse 0,pulse 1,drug concentration
0,260.3,260.3,0.1
1,260.5,260.5,0.20691380811147897
2,260.8,260.8,0.42813323987193935
3,261.40000000000003,261.40000000000003,0.8858667904100825
4,262.6,262.6,1.8329807108324356
5,264.90000000000003,264.90000000000003,3.79269019073225
6,269.40000000000003,269.40000000000003,7.847599703514611
7,278.1,278.1,16.23776739188721
8,294.0,294.0,33.59818286283781
9,321.3,321.3,69.51927961775606
10,363.8,363.8,143.8449888287663
11,422.5,422.5,297.6351441631316
12,493.80000000000007,493.80000000000007,615.8482110660261
13,571.4000000000001,571.4000000000001,1274.2749857031322
14,650.0,649.9000000000001,2636.6508987303555
15,1000.0,424.6,5455.594781168515
16,1000.0,413.8,11288.378916846883
17,1000.0,409.3,23357.21469090121
18,1000.0,409.0,48329.30238571752
19,1000.0,409.3,100000.0
