,pulse 0,pulse 1,drug concentration
0,260.5,260.5,0.1
1,260.90000000000003,260.90000000000003,0.20691380811147897
2,261.5,261.5,0.42813323987193935
3,262.90000000000003,262.90000000000003,0.8858667904100825
4,265.5,265.5,1.8329807108324356
5,270.6,270.6,3.79269019073225
6,280.20000000000005,280.20000000000005,7.847599703514611
7,297.70000000000005,297.70000000000005,16.23776739188721
8,327.3,327.3,33.59818286283781
9,372.40000000000003,372.40000000000003,69.51927961775606
10,433.40000000000003,433.40000000000003,143.8449888287663
11,506.0,506.0,297.6351441631316
12,583.9000000000001,583.9000000000001,615.8482110660261
13,662.2,662.2,1274.2749857031322
14,1000.0,423.70000000000005,2636.6508987303555
15,1000.0,412.5,5455.594781168515
16,1000.0,409.1,11288.378916846883
17,1000.0,409.0,23357.21469090121
18,1000.0,409.3,48329.30238571752
19,1000.0,409.6,100000.0
