,0,1,drug concentration
0,260.20000000000005,260.20000000000005,0.1
1,260.20000000000005,260.20000000000005,0.26366508987303583
2,260.20000000000005,260.20000000000005,0.6951927961775606
3,260.20000000000005,260.20000000000005,1.8329807108324356
4,260.20000000000005,260.20000000000005,4.832930238571752
5,260.20000000000005,260.20000000000005,12.742749857031335
6,260.20000000000005,260.20000000000005,33.59818286283781
7,260.3,260.3,88.58667904100822
8,260.70000000000005,260.70000000000005,233.57214690901213
9,261.90000000000003,261.90000000000003,615.8482110660261
10,266.3,266.3,1623.776739188721
11,281.1,281.1,4281.332398719395
12,325.3,325.3,11288.378916846883
13,417.6,417.6,29763.51441631313
14,517.3000000000001,517.3000000000001,78475.99703514607
15,573.2,573.2,206913.808111479
16,594.1,594.1,545559.4781168514
17,600.7,600.7,1438449.88828766
18,602.6,602.6,3792690.190732246
19,603.1,603.1,10000000.0
