,0,1,drug concentration
0,276.40000000000003,276.40000000000003,0.1
1,276.40000000000003,276.40000000000003,0.26366508987303583
2,276.40000000000003,276.40000000000003,0.6951927961775606
3,276.40000000000003,276.40000000000003,1.8329807108324356
4,276.40000000000003,276.40000000000003,4.832930238571752
5,276.40000000000003,276.40000000000003,12.742749857031335
6,276.40000000000003,276.40000000000003,33.59818286283781
7,276.5,276.5,88.58667904100822
8,276.90000000000003,276.90000000000003,233.57214690901213
9,278.0,278.0,615.8482110660261
10,282.1,282.1,1623.776739188721
11,295.6,295.6,4281.332398719395
12,335.3,335.3,11288.378916846883
13,423.1,423.1,29763.51441631313
14,554.0,554.0,78475.99703514607
15,695.4000000000001,695.4000000000001,206913.808111479
16,1000.0,410.90000000000003,545559.4781168514
17,1000.0,409.1,1438449.88828766
18,1000.0,409.6,3792690.190732246
19,1000.0,409.8,10000000.0
