,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,ME,drug_conc_Hill,peak_current,drug_conc_Hill,peak_current,drug_conc_Hill,peak_current,drug_conc_Hill,peak_current,drug_conc_Hill,peak_current,drug_conc_Hill,peak_current,drug_conc_Hill,peak_current,drug_conc_Hill,peak_current
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,ME,conc_15,conc_15,conc_16,conc_16,conc_17,conc_17,conc_18,conc_18,conc_19,conc_19,conc_20,conc_20,conc_21,conc_21,conc_22,conc_22
0,11000.0,0.0,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.988640360682623,0.9649582105576208,0.8970756409692234,0.7343194705902785,0.4701103278504536,0.2346147891123161,0.1199753203659206,0.0754417365414248,0.0494559904631204,0.0264718355699246,0.0099844337398831,0.0028605414828018,0.0006483828457254,0.0,0.8995521616695824,0.0006703776901485,-147.30184210526315,8856.616250323472,1.0763905916955142e-05,1.0,1.0,3.162277660168379e-06,6.951927961775606e-06,1.5283067326587687e-05,3.359818286283781e-05,7.386199822079358e-05,0.0001623776739188,0.0003569698846826,0.0007847599703514,0.001725210549942,0.0037926901907322,0.0083378222347178,0.0183298071083243,0.040296113202004,0.0885866790410083,0.1947483039908757,0.4281332398719396,0.941204967268067,2.06913808111479,4.548777947003778,10.0,261.3,262.70000000000005,265.70000000000005,272.1,285.90000000000003,313.8,365.0,444.5,544.2,648.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,262.70000000000005,265.20000000000005,270.20000000000005,279.90000000000003,297.90000000000003,328.6,376.0,440.0,515.6,596.1,676.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,20.41519042281997,3.1599999999999966,,,,,,,,,,,,,,,,
0,11001.0,0.0,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.9885110927887204,0.9645577904793748,0.8958968110815216,0.7312370309529465,0.4630059115665249,0.2195847265459573,0.0977783131056976,0.0548660372133134,0.0359238234298274,0.021388537095239,0.0094629262866723,0.0030534776914328,0.0007303029998339,0.0,0.9515338345222007,0.0004153516360049,-147.30184210526315,8856.616250323472,6.472719027321892e-06,1.0,1.0,3.162277660168379e-06,6.951927961775606e-06,1.5283067326587687e-05,3.359818286283781e-05,7.386199822079358e-05,0.0001623776739188,0.0003569698846826,0.0007847599703514,0.001725210549942,0.0037926901907322,0.0083378222347178,0.0183298071083243,0.040296113202004,0.0885866790410083,0.1947483039908757,0.4281332398719396,0.941204967268067,2.06913808111479,4.548777947003778,10.0,261.3,262.70000000000005,265.70000000000005,272.20000000000005,286.0,313.90000000000003,365.2000000000001,444.6,543.7,647.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,262.3,264.6,269.3,278.90000000000003,297.3,330.0,381.3,450.8,532.2,617.7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,13.271586190052792,-2.1699999999999817,,,,,,,,,,,,,,,,
0,11002.0,0.0,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.9739145678075156,0.9219733315186956,0.7892477834626141,0.5446918141241973,0.2863584794883527,0.1414970645571255,0.0853773485726115,0.0570320579056354,0.0328991394503403,0.0132257529084597,0.0037178951803002,0.0009050475512398,0.0001934971029902,0.0,0.8953512904839158,0.0003259602240701,-147.30184210526315,20687.02431821473,1.0763905916955142e-05,1.0,1.0,3.162277660168379e-06,6.951927961775606e-06,1.5283067326587687e-05,3.359818286283781e-05,7.386199822079358e-05,0.0001623776739188,0.0003569698846826,0.0007847599703514,0.001725210549942,0.0037926901907322,0.0083378222347178,0.0183298071083243,0.040296113202004,0.0885866790410083,0.1947483039908757,0.4281332398719396,0.941204967268067,2.06913808111479,4.548777947003778,10.0,262.8,266.0,272.90000000000003,287.40000000000003,316.8,370.2000000000001,451.7000000000001,552.3000000000001,656.8000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,265.5,270.8,281.0,299.8,331.5,380.0,444.6,520.4,600.6,680.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,23.06582368401838,4.744444444444475,,,,,,,,,,,,,,,,
0,11003.0,0.0,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,1.0,0.9736256641541284,0.9211071418678346,0.7868943703925785,0.5391143628482223,0.274043171385583,0.1207212606269892,0.0640265362534808,0.0417581770475765,0.0264173630934992,0.0127109807915659,0.0042299658275056,0.0011212306515121,0.0002466213376284,0.0,0.9469087484568232,0.0001942461550897,-147.30184210526315,20687.02431821473,6.472719027321892e-06,1.0,1.0,3.162277660168379e-06,6.951927961775606e-06,1.5283067326587687e-05,3.359818286283781e-05,7.386199822079358e-05,0.0001623776739188,0.0003569698846826,0.0007847599703514,0.001725210549942,0.0037926901907322,0.0083378222347178,0.0183298071083243,0.040296113202004,0.0885866790410083,0.1947483039908757,0.4281332398719396,0.941204967268067,2.06913808111479,4.548777947003778,10.0,262.90000000000003,266.0,272.90000000000003,287.5,317.0,370.4,451.7000000000001,551.8000000000001,655.5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,264.90000000000003,269.90000000000003,280.0,299.3,333.1,385.5,455.7000000000001,537.2,622.2,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,15.0337767857729,-1.344444444444447,,,,,,,,,,,,,,,,
0,11004.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,1.0,0.9806051693967291,0.9411734293333576,0.8352080779131442,0.6173670736995255,0.3463271959260827,0.1682353248981414,0.0960353842716016,0.0639767921357804,0.0392699733231714,0.0172874302157115,0.004939835027372,0.0011117549969886,0.000252221719781,5.346060084596391e-05,0.8950578674540185,0.0001531533665876,-147.30184210526315,48320.14429063444,1.0763905916955142e-05,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,262.20000000000005,264.8,270.8,284.40000000000003,313.8,370.2000000000001,459.0,568.5,680.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,264.3,268.8,278.1,296.1,328.5,379.8,449.9,532.4,618.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,25.13764330861409,6.366666666666674,10.0,0.0,,,,,,,,,,,,,,
0,11005.0,0.0,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,1.0,0.9803937446940632,0.9405314821056328,0.8333958825982923,0.6129343721325033,0.336319379370979,0.1493586308673994,0.0741164203396437,0.0468569186772707,0.0307200242055999,0.0160684111229917,0.0055968670997847,0.0014121218575349,0.000329461453284,6.992316176452634e-05,0.945944092816062,8.797455934648399e-05,-147.30184210526315,48320.14429063444,6.472719027321892e-06,1.0,1.0,1e-06,2.335721469090121e-06,5.455594781168514e-06,1.274274985703132e-05,2.9763514416313192e-05,6.951927961775606e-05,0.0001623776739188,0.0003792690190732,0.00088586679041,0.0020691380811147,0.0048329302385717,0.0112883789168468,0.0263665089873035,0.0615848211066025,0.1438449888287662,0.3359818286283781,0.7847599703514607,1.8329807108324336,4.281332398719387,10.0,262.20000000000005,264.8,270.8,284.5,314.0,370.4,459.0,567.9000000000001,679.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,263.70000000000005,268.0,277.1,295.5,329.8,385.3,461.4,549.8000000000001,641.3000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,16.32819647113543,0.0777777777777702,10.0,0.0,,,,,,,,,,,,,,
0,11006.0,0.0,3.162277660168377e-07,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,1.0,0.9856009218447696,0.9558705421262654,0.872746845896452,0.685380896768568,0.4136428769236855,0.2024305637084628,0.1089326505745039,0.0710794109939979,0.0457130691889027,0.0222737342827163,0.0068882637920964,0.0014953786835595,0.0003086832118898,7.038588335971015e-05,0.8952152793171574,7.158030350111476e-05,-147.30184210526315,112864.77496001829,1.0763905916955142e-05,1.0,1.0,3.162277660168379e-07,7.847599703514607e-07,1.947483039908757e-06,4.832930238571752e-06,1.1993539462092356e-05,2.9763514416313192e-05,7.386199822079358e-05,0.0001832980710832,0.0004548777947003,0.0011288378916846,0.0028013567611988,0.0069519279617756,0.0172521054994203,0.0428133239871939,0.106246783089404,0.2636650898730361,0.6543189129712969,1.623776739188721,4.029611320200404,10.0,261.6,263.8,269.1,281.8,310.90000000000003,370.2000000000001,466.4,584.7,703.3000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,263.3,267.20000000000005,275.5,292.8,325.5,379.8,455.5,544.6,637.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,26.980157317719417,7.800000000000005,3.1622776601683795,1.499019172116468e-05,10.0,0.0,,,,,,,,,,,,
0,11007.0,0.0,3.162277660168377e-07,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,1.0,0.985444220042216,0.9553872531515016,0.8713526804819582,0.6818474042950013,0.4055505676588328,0.1858481013272067,0.0868871913775126,0.0522493155056359,0.0348206849099414,0.0197329179619058,0.0075224997570054,0.0018858845804117,0.000402063800017,9.084556904428454e-05,0.9457886339496036,3.951556252064052e-05,-147.30184210526315,112864.77496001829,6.472719027321892e-06,1.0,1.0,3.162277660168379e-07,7.847599703514607e-07,1.947483039908757e-06,4.832930238571752e-06,1.1993539462092356e-05,2.9763514416313192e-05,7.386199822079358e-05,0.0001832980710832,0.0004548777947003,0.0011288378916846,0.0028013567611988,0.0069519279617756,0.0172521054994203,0.0428133239871939,0.106246783089404,0.2636650898730361,0.6543189129712969,1.623776739188721,4.029611320200404,10.0,261.6,263.8,269.1,281.8,311.1,370.4,466.30000000000007,584.0,701.8000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,262.8,266.40000000000003,274.5,292.1,326.70000000000005,385.3,467.30000000000007,562.7,660.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,17.514914279613887,1.2777777777777777,3.1622776601683795,1.9281317939128747e-05,10.0,0.0,,,,,,,,,,,,
0,11008.0,0.0,3.162277660168377e-07,9.999999999999991e-07,3.162277660168377e-06,9.999999999999994e-06,3.1622776601683775e-05,9.999999999999996e-05,0.0003162277660168,0.0009999999999999,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,1.0,0.967018933920608,0.902734940835496,0.7464431435384297,0.4858573088038661,0.2454926582562314,0.1253461889905442,0.0788333563371614,0.0521888412285879,0.0279723341374669,0.0096932337046242,0.0021780538684072,0.000416742227519,8.625721084307984e-05,1.96573153117806e-05,0.8937675339774387,3.404821603768383e-05,-147.30184210526315,263626.2290558718,1.0763905916955142e-05,1.0,1.0,3.162277660168379e-07,7.847599703514607e-07,1.947483039908757e-06,4.832930238571752e-06,1.1993539462092356e-05,2.9763514416313192e-05,7.386199822079358e-05,0.0001832980710832,0.0004548777947003,0.0011288378916846,0.0028013567611988,0.0069519279617756,0.0172521054994203,0.0428133239871939,0.106246783089404,0.2636650898730361,0.6543189129712969,1.623776739188721,4.029611320200404,10.0,263.6,268.5,280.5,308.20000000000005,365.0,459.0,576.7,695.8000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,266.8,274.8,291.3,322.8,375.5,449.8,538.2,630.8000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,28.02202258938494,8.412500000000001,3.1622776601683795,4.180675253301097e-06,10.0,0.0,,,,,,,,,,,,
