,0,1,drug concentration
0,276.40000000000003,276.40000000000003,0.1
1,276.5,276.5,0.19474830399087562
2,276.5,276.5,0.37926901907322497
3,276.6,276.6,0.7386199822079362
4,276.8,276.8,1.438449888287663
5,277.1,277.1,2.8013567611988686
6,277.8,277.8,5.45559478116852
7,278.90000000000003,278.90000000000003,10.624678308940409
8,281.0,281.0,20.6913808111479
9,284.8,284.8,40.29611320200404
10,291.5,291.5,78.47599703514615
11,303.20000000000005,303.20000000000005,152.83067326587687
12,322.5,322.5,297.63514416313194
13,352.5,352.5,579.6393953384974
14,395.0,395.0,1128.8378916846884
15,449.70000000000005,449.70000000000005,2198.392648862289
16,513.4,513.4,4281.332398719395
17,581.5,581.5,8337.8222347179
18,650.5,650.5,16237.767391887242
19,1000.0,424.70000000000005,31622.776601683792
