,Hill coefficient,IC50,protocol
0,0.9178825578580384,514.9145533855975,Milnes
0,0.9738016069920086,644.0230025767803,Pneg80
0,0.9164775231184402,504.56174902589225,P0
0,0.9302086472899128,1242.8467705446744,P40
