,0,1,drug concentration
0,260.20000000000005,260.20000000000005,0.1
1,260.20000000000005,260.20000000000005,0.26366508987303583
2,260.20000000000005,260.20000000000005,0.6951927961775606
3,260.20000000000005,260.20000000000005,1.8329807108324356
4,260.3,260.3,4.832930238571752
5,260.40000000000003,260.40000000000003,12.742749857031335
6,260.6,260.6,33.59818286283781
7,261.0,261.0,88.58667904100822
8,261.90000000000003,261.90000000000003,233.57214690901213
9,263.8,263.8,615.8482110660261
10,267.6,267.6,1623.776739188721
11,275.20000000000005,275.20000000000005,4281.332398719395
12,290.40000000000003,290.40000000000003,11288.378916846883
13,319.1,319.1,29763.51441631313
14,369.1,369.1,78475.99703514607
15,443.8,443.8,206913.808111479
16,533.4,533.4,545559.4781168514
17,622.7,622.7,1438449.88828766
18,704.7,704.7,3792690.190732246
19,1000.0,412.1,10000000.0
