,Vhalf,Kmax,Ku,N,EC50,param_id
0,-219.45000000000002,1.0,0.0020449034846484362,1.0,1.0,5000.0
0,-219.45000000000002,1.0,0.005275173787722109,1.0,1.0,5001.0
0,-219.45000000000002,1.0,0.05420973847557029,1.0,1.0,5002.0
0,-219.45000000000002,1.0,0.0760138578786789,1.0,1.0,5003.0
0,-219.45000000000002,2.340347319320716,0.0020449034846484362,1.0,1.0,5004.0
0,-219.45000000000002,2.340347319320716,0.005275173787722109,1.0,1.0,5005.0
0,-219.45000000000002,2.340347319320716,0.05420973847557029,1.0,1.0,5006.0
0,-219.45000000000002,2.340347319320716,0.0760138578786789,1.0,1.0,5007.0
0,-219.45000000000002,5.477225575051662,1.7900000000000005e-05,1.0,1.0,5008.0
0,-219.45000000000002,5.477225575051662,4.617607212716914e-05,1.0,1.0,5009.0
0,-219.45000000000002,5.477225575051662,0.00011911897413930335,1.0,1.0,5010.0
0,-219.45000000000002,5.477225575051662,0.00030728750511569076,1.0,1.0,5011.0
0,-219.45000000000002,5.477225575051662,0.0007927000000000001,1.0,1.0,5012.0
0,-219.45000000000002,5.477225575051662,0.01,1.0,1.0,5013.0
0,-219.45000000000002,5.477225575051662,0.014022177567400491,1.0,1.0,5014.0
0,-219.45000000000002,5.477225575051662,0.019662146373170954,1.0,1.0,5015.0
0,-219.45000000000002,5.477225575051662,0.027570610780082282,1.0,1.0,5016.0
0,-219.45000000000002,5.477225575051662,0.03865999999999999,1.0,1.0,5017.0
0,-219.45000000000002,5.477225575051662,0.09967,1.0,1.0,5018.0
0,-219.45000000000002,5.477225575051662,0.12922052653063773,1.0,1.0,5019.0
0,-219.45000000000002,5.477225575051662,0.16753230136305056,1.0,1.0,5020.0
0,-219.45000000000002,5.477225575051662,0.21720289147208666,1.0,1.0,5021.0
0,-219.45000000000002,5.477225575051662,0.2816,1.0,1.0,5022.0
0,-219.45000000000002,5.477225575051662,0.0020449034846484362,1.0,1.0,5023.0
0,-219.45000000000002,5.477225575051662,0.005275173787722109,1.0,1.0,5024.0
0,-219.45000000000002,5.477225575051662,0.05420973847557029,1.0,1.0,5025.0
0,-219.45000000000002,5.477225575051662,0.0760138578786789,1.0,1.0,5026.0
0,-219.45000000000002,12.81861019188702,0.0020449034846484362,1.0,1.0,5027.0
0,-219.45000000000002,12.81861019188702,0.005275173787722109,1.0,1.0,5028.0
0,-219.45000000000002,12.81861019188702,0.05420973847557029,1.0,1.0,5029.0
0,-219.45000000000002,12.81861019188702,0.0760138578786789,1.0,1.0,5030.0
0,-219.45000000000002,29.999999999999996,0.0020449034846484362,1.0,1.0,5031.0
0,-219.45000000000002,29.999999999999996,0.005275173787722109,1.0,1.0,5032.0
0,-219.45000000000002,29.999999999999996,0.05420973847557029,1.0,1.0,5033.0
0,-219.45000000000002,29.999999999999996,0.0760138578786789,1.0,1.0,5034.0
0,-219.45000000000002,55.84,0.0020449034846484362,1.0,1.0,5035.0
0,-219.45000000000002,55.84,0.005275173787722109,1.0,1.0,5036.0
0,-219.45000000000002,55.84,0.05420973847557029,1.0,1.0,5037.0
0,-219.45000000000002,55.84,0.0760138578786789,1.0,1.0,5038.0
0,-219.45000000000002,435.1869486529291,0.0020449034846484362,1.0,1.0,5039.0
0,-219.45000000000002,435.1869486529291,0.005275173787722109,1.0,1.0,5040.0
0,-219.45000000000002,435.1869486529291,0.05420973847557029,1.0,1.0,5041.0
0,-219.45000000000002,435.1869486529291,0.0760138578786789,1.0,1.0,5042.0
0,-219.45000000000002,3391.613185491529,0.0020449034846484362,1.0,1.0,5043.0
0,-219.45000000000002,3391.613185491529,0.005275173787722109,1.0,1.0,5044.0
0,-219.45000000000002,3391.613185491529,0.05420973847557029,1.0,1.0,5045.0
0,-219.45000000000002,3391.613185491529,0.0760138578786789,1.0,1.0,5046.0
0,-219.45000000000002,26432.410336767512,0.0020449034846484362,1.0,1.0,5047.0
0,-219.45000000000002,26432.410336767512,0.005275173787722109,1.0,1.0,5048.0
0,-219.45000000000002,26432.410336767512,0.05420973847557029,1.0,1.0,5049.0
0,-219.45000000000002,26432.410336767512,0.0760138578786789,1.0,1.0,5050.0
0,-219.45000000000002,205999.99999999994,0.0020449034846484362,1.0,1.0,5051.0
0,-219.45000000000002,205999.99999999994,0.005275173787722109,1.0,1.0,5052.0
0,-219.45000000000002,205999.99999999994,0.05420973847557029,1.0,1.0,5053.0
0,-219.45000000000002,205999.99999999994,0.0760138578786789,1.0,1.0,5054.0
0,-219.45000000000002,37350000.00000001,0.0020449034846484362,1.0,1.0,5055.0
0,-219.45000000000002,37350000.00000001,0.005275173787722109,1.0,1.0,5056.0
0,-219.45000000000002,37350000.00000001,0.05420973847557029,1.0,1.0,5057.0
0,-219.45000000000002,37350000.00000001,0.0760138578786789,1.0,1.0,5058.0
0,-219.45000000000002,47776898.61884367,0.0020449034846484362,1.0,1.0,5059.0
0,-219.45000000000002,47776898.61884367,0.005275173787722109,1.0,1.0,5060.0
0,-219.45000000000002,47776898.61884367,0.05420973847557029,1.0,1.0,5061.0
0,-219.45000000000002,47776898.61884367,0.0760138578786789,1.0,1.0,5062.0
0,-219.45000000000002,61114646.36239009,0.0020449034846484362,1.0,1.0,5063.0
0,-219.45000000000002,61114646.36239009,0.005275173787722109,1.0,1.0,5064.0
0,-219.45000000000002,61114646.36239009,0.05420973847557029,1.0,1.0,5065.0
0,-219.45000000000002,61114646.36239009,0.0760138578786789,1.0,1.0,5066.0
0,-219.45000000000002,78175857.11867201,0.0020449034846484362,1.0,1.0,5067.0
0,-219.45000000000002,78175857.11867201,0.005275173787722109,1.0,1.0,5068.0
0,-219.45000000000002,78175857.11867201,0.05420973847557029,1.0,1.0,5069.0
0,-219.45000000000002,78175857.11867201,0.0760138578786789,1.0,1.0,5070.0
0,-219.45000000000002,100000000.0,0.0020449034846484362,1.0,1.0,5071.0
0,-219.45000000000002,100000000.0,0.005275173787722109,1.0,1.0,5072.0
0,-219.45000000000002,100000000.0,0.05420973847557029,1.0,1.0,5073.0
0,-219.45000000000002,100000000.0,0.0760138578786789,1.0,1.0,5074.0
0,-219.45000000000002,650423.3455655788,1.7900000000000005e-05,1.0,1.0,5075.0
0,-219.45000000000002,650423.3455655788,4.617607212716914e-05,1.0,1.0,5076.0
0,-219.45000000000002,650423.3455655788,0.00011911897413930335,1.0,1.0,5077.0
0,-219.45000000000002,650423.3455655788,0.00030728750511569076,1.0,1.0,5078.0
0,-219.45000000000002,650423.3455655788,0.0007927000000000001,1.0,1.0,5079.0
0,-219.45000000000002,650423.3455655788,0.01,1.0,1.0,5080.0
0,-219.45000000000002,650423.3455655788,0.014022177567400491,1.0,1.0,5081.0
0,-219.45000000000002,650423.3455655788,0.019662146373170954,1.0,1.0,5082.0
0,-219.45000000000002,650423.3455655788,0.027570610780082282,1.0,1.0,5083.0
0,-219.45000000000002,650423.3455655788,0.03865999999999999,1.0,1.0,5084.0
0,-219.45000000000002,650423.3455655788,0.09967,1.0,1.0,5085.0
0,-219.45000000000002,650423.3455655788,0.12922052653063773,1.0,1.0,5086.0
0,-219.45000000000002,650423.3455655788,0.16753230136305056,1.0,1.0,5087.0
0,-219.45000000000002,650423.3455655788,0.21720289147208666,1.0,1.0,5088.0
0,-219.45000000000002,650423.3455655788,0.2816,1.0,1.0,5089.0
0,-219.45000000000002,650423.3455655788,0.0020449034846484362,1.0,1.0,5090.0
0,-219.45000000000002,650423.3455655788,0.005275173787722109,1.0,1.0,5091.0
0,-219.45000000000002,650423.3455655788,0.05420973847557029,1.0,1.0,5092.0
0,-219.45000000000002,650423.3455655788,0.0760138578786789,1.0,1.0,5093.0
0,-219.45000000000002,2053643.342022915,1.7900000000000005e-05,1.0,1.0,5094.0
0,-219.45000000000002,2053643.342022915,4.617607212716914e-05,1.0,1.0,5095.0
0,-219.45000000000002,2053643.342022915,0.00011911897413930335,1.0,1.0,5096.0
0,-219.45000000000002,2053643.342022915,0.00030728750511569076,1.0,1.0,5097.0
0,-219.45000000000002,2053643.342022915,0.0007927000000000001,1.0,1.0,5098.0
0,-219.45000000000002,2053643.342022915,0.01,1.0,1.0,5099.0
0,-219.45000000000002,2053643.342022915,0.014022177567400491,1.0,1.0,5100.0
0,-219.45000000000002,2053643.342022915,0.019662146373170954,1.0,1.0,5101.0
0,-219.45000000000002,2053643.342022915,0.027570610780082282,1.0,1.0,5102.0
0,-219.45000000000002,2053643.342022915,0.03865999999999999,1.0,1.0,5103.0
0,-219.45000000000002,2053643.342022915,0.09967,1.0,1.0,5104.0
0,-219.45000000000002,2053643.342022915,0.12922052653063773,1.0,1.0,5105.0
0,-219.45000000000002,2053643.342022915,0.16753230136305056,1.0,1.0,5106.0
0,-219.45000000000002,2053643.342022915,0.21720289147208666,1.0,1.0,5107.0
0,-219.45000000000002,2053643.342022915,0.2816,1.0,1.0,5108.0
0,-219.45000000000002,2053643.342022915,0.0020449034846484362,1.0,1.0,5109.0
0,-219.45000000000002,2053643.342022915,0.005275173787722109,1.0,1.0,5110.0
0,-219.45000000000002,2053643.342022915,0.05420973847557029,1.0,1.0,5111.0
0,-219.45000000000002,2053643.342022915,0.0760138578786789,1.0,1.0,5112.0
0,-219.45000000000002,6484162.976296218,1.7900000000000005e-05,1.0,1.0,5113.0
0,-219.45000000000002,6484162.976296218,4.617607212716914e-05,1.0,1.0,5114.0
0,-219.45000000000002,6484162.976296218,0.00011911897413930335,1.0,1.0,5115.0
0,-219.45000000000002,6484162.976296218,0.00030728750511569076,1.0,1.0,5116.0
0,-219.45000000000002,6484162.976296218,0.0007927000000000001,1.0,1.0,5117.0
0,-219.45000000000002,6484162.976296218,0.01,1.0,1.0,5118.0
0,-219.45000000000002,6484162.976296218,0.014022177567400491,1.0,1.0,5119.0
0,-219.45000000000002,6484162.976296218,0.019662146373170954,1.0,1.0,5120.0
0,-219.45000000000002,6484162.976296218,0.027570610780082282,1.0,1.0,5121.0
0,-219.45000000000002,6484162.976296218,0.03865999999999999,1.0,1.0,5122.0
0,-219.45000000000002,6484162.976296218,0.09967,1.0,1.0,5123.0
0,-219.45000000000002,6484162.976296218,0.12922052653063773,1.0,1.0,5124.0
0,-219.45000000000002,6484162.976296218,0.16753230136305056,1.0,1.0,5125.0
0,-219.45000000000002,6484162.976296218,0.21720289147208666,1.0,1.0,5126.0
0,-219.45000000000002,6484162.976296218,0.2816,1.0,1.0,5127.0
0,-219.45000000000002,6484162.976296218,0.0020449034846484362,1.0,1.0,5128.0
0,-219.45000000000002,6484162.976296218,0.005275173787722109,1.0,1.0,5129.0
0,-219.45000000000002,6484162.976296218,0.05420973847557029,1.0,1.0,5130.0
0,-219.45000000000002,6484162.976296218,0.0760138578786789,1.0,1.0,5131.0
0,-219.45000000000002,20473062.991432272,1.7900000000000005e-05,1.0,1.0,5132.0
0,-219.45000000000002,20473062.991432272,4.617607212716914e-05,1.0,1.0,5133.0
0,-219.45000000000002,20473062.991432272,0.00011911897413930335,1.0,1.0,5134.0
0,-219.45000000000002,20473062.991432272,0.00030728750511569076,1.0,1.0,5135.0
0,-219.45000000000002,20473062.991432272,0.0007927000000000001,1.0,1.0,5136.0
0,-219.45000000000002,20473062.991432272,0.01,1.0,1.0,5137.0
0,-219.45000000000002,20473062.991432272,0.014022177567400491,1.0,1.0,5138.0
0,-219.45000000000002,20473062.991432272,0.019662146373170954,1.0,1.0,5139.0
0,-219.45000000000002,20473062.991432272,0.027570610780082282,1.0,1.0,5140.0
