,0,1,drug concentration
0,260.20000000000005,260.20000000000005,0.1
1,260.20000000000005,260.20000000000005,0.26366508987303583
2,260.20000000000005,260.20000000000005,0.6951927961775606
3,260.20000000000005,260.20000000000005,1.8329807108324356
4,260.20000000000005,260.20000000000005,4.832930238571752
5,260.3,260.3,12.742749857031335
6,260.40000000000003,260.40000000000003,33.59818286283781
7,260.70000000000005,260.70000000000005,88.58667904100822
8,261.3,261.3,233.57214690901213
9,262.6,262.6,615.8482110660261
10,265.40000000000003,265.40000000000003,1623.776739188721
11,271.20000000000005,271.20000000000005,4281.332398719395
12,283.1,283.1,11288.378916846883
13,306.1,306.1,29763.51441631313
14,346.1,346.1,78475.99703514607
15,406.5,406.5,206913.808111479
16,484.30000000000007,484.30000000000007,545559.4781168514
17,571.1,571.1,1438449.88828766
18,659.2,659.2,3792690.190732246
19,1000.0,422.90000000000003,10000000.0
