,APD,drug concentration
0,276.40000000000003,0.1
1,276.5,0.20691380811147897
2,276.5,0.42813323987193935
3,276.6,0.8858667904100825
4,276.8,1.8329807108324356
5,277.20000000000005,3.79269019073225
6,278.0,7.847599703514611
7,279.5,16.23776739188721
8,282.20000000000005,33.59818286283781
9,287.5,69.51927961775606
10,297.0,143.8449888287663
11,313.8,297.6351441631316
12,341.40000000000003,615.8482110660261
13,383.0,1274.2749857031322
14,438.90000000000003,2636.6508987303555
15,505.80000000000007,5455.594781168515
16,578.4000000000001,11288.378916846883
17,652.3000000000001,23357.21469090121
18,1000.0,48329.30238571752
19,1000.0,100000.0
