"engine.time","0.ikr.IKr","0.membrane.V","1.ikr.IKr","1.membrane.V","2.ikr.IKr","2.membrane.V","3.ikr.IKr","3.membrane.V","4.ikr.IKr","4.membrane.V","5.ikr.IKr","5.membrane.V","6.ikr.IKr","6.membrane.V"
 0.00000000000000000e+00,-6.23252166318516094e-07,-8.79351151247086307e+01,-6.23190672800254242e-07,-8.79351457544959345e+01,-6.23188935138052088e-07,-8.79351439437985221e+01,-6.22671354608386329e-07,-8.79351450412523263e+01,-6.23572577649214962e-07,-8.79351050920277117e+01,-6.23208217468345240e-07,-8.79351441898827346e+01,-6.23152441982216208e-07,-8.79351220649965910e+01
 1.00000000000000006e-01,-6.23292679588530187e-07,-8.79351217458906831e+01,-6.23231516553582826e-07,-8.79351523297509772e+01,-6.23229754681086021e-07,-8.79351505203663493e+01,-6.22706664078123560e-07,-8.79351516381060492e+01,-6.23611992788988357e-07,-8.79351116675104549e+01,-6.23249220417117195e-07,-8.79351508019372261e+01,-6.23193189828961908e-07,-8.79351286305589355e+01
 2.00000000000000011e-01,-6.23333192631614941e-07,-8.79351283670727355e+01,-6.23272341593765719e-07,-8.79351589021081566e+01,-6.23270555554095228e-07,-8.79351570940389990e+01,-6.22741944245892276e-07,-8.79351582321280603e+01,-6.23651391428646336e-07,-8.79351182402111391e+01,-6.23290204848470961e-07,-8.79351574110966254e+01,-6.23233919351056436e-07,-8.79351351932420471e+01
 3.00000000000000044e-01,-6.23373705447770464e-07,-8.79351349882547879e+01,-6.23313147929397552e-07,-8.79351654715688227e+01,-6.23311337765292117e-07,-8.79351636648177504e+01,-6.22777195135010657e-07,-8.79351648233196244e+01,-6.23690773584597305e-07,-8.79351248101314837e+01,-6.23331170762946735e-07,-8.79351640173609468e+01,-6.23274630554066494e-07,-8.79351417530473896e+01
 4.00000000000000022e-01,-6.23414218036996543e-07,-8.79351416094368403e+01,-6.23353935568603278e-07,-8.79351720381343114e+01,-6.23352101322707090e-07,-8.79351702327038396e+01,-6.22812416768633833e-07,-8.79351714116819494e+01,-6.23730139273345065e-07,-8.79351313772732226e+01,-6.23372118160427944e-07,-8.79351706207301760e+01,-6.23315323443844762e-07,-8.79351483099764124e+01
 5.00000000000000000e-01,-6.23454730399387516e-07,-8.79351482306188927e+01,-6.23394704519883190e-07,-8.79351786018059585e+01,-6.23392846234657163e-07,-8.79351767976985457e+01,-6.22847609170034774e-07,-8.79351779972162717e+01,-6.23769488511487121e-07,-8.79351379416380610e+01,-6.23413047041360973e-07,-8.79351772212043272e+01,-6.23355998026154134e-07,-8.79351548640305793e+01
 6.00000000000000089e-01,-6.23495242534755024e-07,-8.79351548518009452e+01,-6.23435454791361392e-07,-8.79351851625850998e+01,-6.23433572509371050e-07,-8.79351833598031334e+01,-6.22882772362886464e-07,-8.79351845799238561e+01,-6.23808821315809865e-07,-8.79351445032277468e+01,-6.23453957406004168e-07,-8.79351838187833863e+01,-6.23396654306574121e-07,-8.79351614152113399e+01
 7.00000000000000067e-01,-6.23535754443193406e-07,-8.79351614729829834e+01,-6.23476186391631457e-07,-8.79351917204730995e+01,-6.23474280154988631e-07,-8.79351899190188533e+01,-6.22917906370604598e-07,-8.79351911598059104e+01,-6.23848137702442712e-07,-8.79351510620439711e+01,-6.23494849254616086e-07,-8.79351904134673674e+01,-6.23437292290876302e-07,-8.79351679635201435e+01
 8.00000000000000044e-01,-6.23576266124702239e-07,-8.79351680941650358e+01,-6.23516899328910664e-07,-8.79351982754712651e+01,-6.23514969179937249e-07,-8.79351964753469701e+01,-6.22953011216910970e-07,-8.79351977368636710e+01,-6.23887437688079304e-07,-8.79351576180884820e+01,-6.23535722587548351e-07,-8.79351970052562706e+01,-6.23477911984836381e-07,-8.79351745089584398e+01
 9.00000000000000022e-01,-6.23616777579469880e-07,-8.79351747153470882e+01,-6.23557593611603908e-07,-8.79352048275809466e+01,-6.23555639592179437e-07,-8.79352030287887487e+01,-6.22988086925739130e-07,-8.79352043110983743e+01,-6.23926721289320110e-07,-8.79351641713629846e+01,-6.23576577404777776e-07,-8.79352035941500816e+01,-6.23518513394046576e-07,-8.79351810515277066e+01
 1.00000000000000000e+00,-6.23657288807120248e-07,-8.79351813365291406e+01,-6.23598269247927940e-07,-8.79352113768034798e+01,-6.23596291399965508e-07,-8.79352095793454254e+01,-6.23023133521047195e-07,-8.79352108825112424e+01,-6.23965988522577771e-07,-8.79351707218692127e+01,-6.23617413706843602e-07,-8.79352101801488146e+01,-6.23559096524385190e-07,-8.79351875912293792e+01
 1.10000000000000009e+00,-6.23697799808029214e-07,-8.79351879577111930e+01,-6.23638926246193104e-07,-8.79352179231402147e+01,-6.23636924611738262e-07,-8.79352161270182933e+01,-6.23058151026536733e-07,-8.79352174511035116e+01,-6.24005239404360005e-07,-8.79351772696088716e+01,-6.23658231493815923e-07,-8.79352167632524555e+01,-6.23599661381547143e-07,-8.79351941280649214e+01
 1.20000000000000018e+00,-6.23738310581914926e-07,-8.79351945788932454e+01,-6.23679564614896941e-07,-8.79352244665924729e+01,-6.23677539235289027e-07,-8.79352226718085745e+01,-6.23093139466777948e-07,-8.79352240168764041e+01,-6.24044473951362996e-07,-8.79351838145837092e+01,-6.23699030766140171e-07,-8.79352233434610184e+01,-6.23640207971043336e-07,-8.79352006620357685e+01
 1.30000000000000004e+00,-6.23778821128871195e-07,-8.79352012000752978e+01,-6.23720184362255036e-07,-8.79352310071616046e+01,-6.23718135279259232e-07,-8.79352292137175340e+01,-6.23128098865708731e-07,-8.79352305798311420e+01,-6.24083692180095417e-07,-8.79351903567954309e+01,-6.23739811523885803e-07,-8.79352299207744892e+01,-6.23680736298859012e-07,-8.79352071931433983e+01
 1.40000000000000013e+00,-6.23819331448992358e-07,-8.79352078212573502e+01,-6.23760785496670590e-07,-8.79352375448489454e+01,-6.23758712751638305e-07,-8.79352357527464363e+01,-6.23163029247667410e-07,-8.79352371399689474e+01,-6.24122894106878957e-07,-8.79351968962457562e+01,-6.23780573767310317e-07,-8.79352364951928820e+01,-6.23721246370701795e-07,-8.79352137213892320e+01
 1.50000000000000000e+00,-6.23859841541996142e-07,-8.79352144424393884e+01,-6.23801368026358448e-07,-8.79352440796558312e+01,-6.23799271660515621e-07,-8.79352422888965179e+01,-6.23197930637297773e-07,-8.79352436972910567e+01,-6.24162079748505198e-07,-8.79352034329364187e+01,-6.23821317496952638e-07,-8.79352430667161968e+01,-6.23761738192189631e-07,-8.79352202467747617e+01
 1.60000000000000009e+00,-6.23900351408258734e-07,-8.79352210636214409e+01,-6.23841931959814984e-07,-8.79352506115835979e+01,-6.23839812014360344e-07,-8.79352488221690436e+01,-6.23232803059362299e-07,-8.79352502517986920e+01,-6.24201249121485034e-07,-8.79352099668691380e+01,-6.23862042712787991e-07,-8.79352496353444195e+01,-6.23802211769226341e-07,-8.79352267693013943e+01
 1.70000000000000018e+00,-6.23940861047685692e-07,-8.79352276848034933e+01,-6.23882477305348215e-07,-8.79352571406335954e+01,-6.23880333821178526e-07,-8.79352553525652638e+01,-6.23267646537992109e-07,-8.79352568034930613e+01,-6.24240402242141427e-07,-8.79352164980456195e+01,-6.23902749415073343e-07,-8.79352562010775642e+01,-6.23842667107344955e-07,-8.79352332889706076e+01
 1.80000000000000004e+00,-6.23981370460089609e-07,-8.79352343059855457e+01,-6.23923004071078117e-07,-8.79352636668071455e+01,-6.23920837089356639e-07,-8.79352618800864292e+01,-6.23302461098467855e-07,-8.79352633523753866e+01,-6.24279539127268498e-07,-8.79352230264676109e+01,-6.23943437604253175e-07,-8.79352627639156168e+01,-6.23883104212363954e-07,-8.79352398057838514e+01
