,drug_conc,SD,CS
0,0.1,0.06967252315827166,0.06967241790610276
1,0.23357214690901226,0.06967208223976451,0.069671848338394
2,0.5455594781168519,0.06967051733672658,0.06967018711892378
3,1.2742749857031335,0.06966755871873107,0.0696667707655349
4,2.9763514416313175,0.06966072384121455,0.06965904596708432
5,6.951927961775605,0.06964531564336807,0.06964199147083545
6,16.23776739188721,0.06961148787272928,0.06960378586181619
7,37.926901907322495,0.06953565848501227,0.06951769337947765
8,88.58667904100822,0.06936620612920341,0.06932520780619139
9,206.9138081114788,0.06899007323333961,0.06889778497668941
10,483.2930238571752,0.06816022521177811,0.06796001613370717
11,1128.8378916846884,0.06636190433406915,0.06595503209087172
12,2636.6508987303555,0.06261151556287474,0.06189551123142664
13,6158.482110660255,0.055401559318964844,0.05450020667034796
14,14384.498882876629,0.04350027597430503,0.0432122431649142
15,33598.18286283781,0.027794452613709848,0.029555102765313274
16,78475.99703514607,0.010560930631002554,0.016184374753900072
17,183298.07108324338,-0.014330429936178009,0.002618061663107878
18,428133.2398719387,-0.03243091010690539,-0.018545630845782164
19,1000000.0,-0.10320008653755243,-0.0977954839997559
