,0,1,drug concentration
0,260.20000000000005,260.20000000000005,0.1
1,260.20000000000005,260.20000000000005,0.23357214690901226
2,260.20000000000005,260.20000000000005,0.5455594781168519
3,260.20000000000005,260.20000000000005,1.2742749857031335
4,260.20000000000005,260.20000000000005,2.9763514416313175
5,260.3,260.3,6.951927961775605
6,260.5,260.5,16.23776739188721
7,260.90000000000003,260.90000000000003,37.926901907322495
8,261.8,261.8,88.58667904100822
9,263.8,263.8,206.9138081114788
10,268.20000000000005,268.20000000000005,483.2930238571752
11,277.90000000000003,277.90000000000003,1128.8378916846884
12,298.40000000000003,298.40000000000003,2636.6508987303555
13,339.1,339.1,6158.482110660255
14,409.6,409.6,14384.498882876629
15,506.20000000000005,506.20000000000005,33598.18286283781
16,606.9000000000001,606.9000000000001,78475.99703514607
17,696.9000000000001,696.9000000000001,183298.07108324338
18,1000.0,413.70000000000005,428133.2398719387
19,1000.0,407.90000000000003,1000000.0
